date,distance_km,chlorophyll_mg_m3,lat,lon
2025-01,330.80266721823506,0.84274244,29.117587939698492,-112.84045226130654
2025-01,332.5502444907521,0.8180199,29.104522613065328,-112.83040201005025
2025-01,334.29788858894545,0.8180199,29.09145728643216,-112.82035175879398
2025-01,336.0455994912004,0.84163797,29.078391959798996,-112.81030150753769
2025-01,337.7933771758841,0.84163797,29.065326633165828,-112.80025125628141
2025-01,339.5412216213567,0.8089708,29.052261306532664,-112.79020100502512
2025-01,341.2891328059649,0.8130189,29.039195979899496,-112.78015075376885
2025-01,343.03711070804655,0.8130189,29.026130653266332,-112.77010050251256
2025-01,344.7851553059259,0.8130189,29.013065326633168,-112.76005025125629
2025-01,346.5332665779185,0.8130189,29.0,-112.75
2025-02,0.0,3.5085084,31.6,-114.75
2025-02,1.734501495285024,3.3311112,31.586934673366837,-114.73994974874371
2025-02,3.4690737134757175,3.149685,31.57386934673367,-114.72989949748744
2025-02,5.203716635184974,3.149685,31.560804020100505,-114.71984924623115
2025-02,6.938430241012232,3.149685,31.547738693467338,-114.70979899497488
2025-02,8.673214511545236,2.7451987,31.534673366834173,-114.69974874371859
2025-02,10.408069427361108,2.7451987,31.521608040201006,-114.68969849246231
2025-02,12.142994969024565,2.7451987,31.50854271356784,-114.67964824120602
2025-02,13.87799111708652,2.6882334,31.495477386934674,-114.66959798994975
2025-02,15.613057852085488,2.621582,31.48241206030151,-114.65954773869346
2025-02,17.34819515455077,2.621582,31.469346733668342,-114.64949748743719
2025-02,19.08340300499538,2.6357067,31.456281407035178,-114.6394472361809
2025-02,20.81868138392665,2.6357067,31.44321608040201,-114.62939698492463
2025-02,22.554030271830683,2.5447805,31.430150753768846,-114.61934673366834
2025-02,24.289449649186487,2.5447805,31.417085427135678,-114.60929648241206
2025-02,26.02493949646385,2.5229115,31.404020100502514,-114.59924623115577
2025-02,27.76049979411593,2.5229115,31.39095477386935,-114.5891959798995
2025-02,29.496130522583837,2.4455056,31.377889447236182,-114.57914572864321
2025-02,31.231831662297346,2.399637,31.364824120603018,-114.56909547738694
2025-02,32.96760319367772,2.399637,31.35175879396985,-114.55904522613065
2025-02,34.703445097127116,2.399637,31.338693467336686,-114.54899497487438
2025-02,36.43935735304236,2.2323875,31.325628140703518,-114.53894472361809
2025-02,38.17533994180223,2.2323875,31.312562814070354,-114.52889447236181
2025-02,39.911392843778394,2.2323875,31.299497487437186,-114.51884422110552
2025-02,41.647516039326966,2.186716,31.286432160804022,-114.50879396984925
2025-02,43.38370950879483,2.2065687,31.273366834170854,-114.49874371859296
2025-02,45.119973232514354,2.2065687,31.26030150753769,-114.48869346733669
2025-02,46.85630719080728,2.3678808,31.247236180904522,-114.4786432160804
2025-02,48.59271136398083,2.3678808,31.23417085427136,-114.46859296482413
2025-02,50.32918573233443,2.3678808,31.22110552763819,-114.45854271356784
2025-02,52.0657302761498,2.3206687,31.208040201005026,-114.44849246231156
2025-02,53.80234497570227,2.3206687,31.194974874371862,-114.43844221105527
2025-02,55.53902981125125,2.3206687,31.181909547738694,-114.428391959799
2025-02,57.27578476304728,2.3206687,31.16884422110553,-114.41834170854271
2025-02,59.01260981132603,2.309057,31.155778894472363,-114.40829145728644
2025-02,60.74950493631219,2.309057,31.1427135678392,-114.39824120603015
2025-02,62.486470118217,2.309057,31.12964824120603,-114.38819095477388
2025-02,64.2235053372407,2.2248394,31.116582914572867,-114.37814070351759
2025-02,65.96061057357502,2.2032564,31.1035175879397,-114.36809045226131
2025-02,67.69778580739403,2.2032564,31.090452261306535,-114.35804020100502
2025-02,69.43503101886252,2.3387876,31.077386934673367,-114.34798994974874
2025-02,71.17234618813082,2.3387876,31.064321608040203,-114.33793969849246
2025-02,72.9097312953425,2.2760983,31.051256281407035,-114.32788944723617
2025-02,74.64718632062448,2.791427,31.03819095477387,-114.3178391959799
2025-02,76.38471124409413,2.791427,31.025125628140703,-114.30778894472361
2025-02,78.12230604585251,2.791427,31.01206030150754,-114.29773869346734
2025-02,79.85997070599574,2.393307,30.99899497487437,-114.28768844221105
2025-02,81.5977052046015,2.393307,30.985929648241207,-114.27763819095478
2025-02,83.33550952174004,2.393307,30.972864321608043,-114.26758793969849
2025-02,85.07338363746602,2.393307,30.959798994974875,-114.25753768844221
2025-02,86.81132753182456,2.1581821,30.94673366834171,-114.24748743718592
2025-02,88.54934118484836,2.1581821,30.933668341708543,-114.23743718592965
2025-02,90.28742457655771,2.1581821,30.92060301507538,-114.22738693467336
2025-02,92.02557768696018,1.8718938,30.90753768844221,-114.21733668341709
2025-02,93.76380049605304,1.9290228,30.894472361809047,-114.2072864321608
2025-02,95.50209298382012,1.9290228,30.88140703517588,-114.19723618090453
2025-02,97.24045513023567,1.8826203,30.868341708542715,-114.18718592964824
2025-02,98.97888691525803,1.8826203,30.855276381909547,-114.17713567839196
2025-02,100.717388318837,1.8826203,30.842211055276383,-114.16708542713567
2025-02,102.45595932090963,1.8005565,30.829145728643216,-114.1570351758794
2025-02,104.1945999013999,1.8005565,30.81608040201005,-114.14698492462311
2025-02,105.93331004022113,1.8005565,30.803015075376884,-114.13693467336684
2025-02,107.6720897172746,1.6865255,30.78994974874372,-114.12688442211055
2025-02,109.41093891244886,1.6103427,30.776884422110555,-114.11683417085428
2025-02,111.1498576056211,1.6103427,30.763819095477388,-114.10678391959799
2025-02,112.88884577665682,1.6103427,30.750753768844223,-114.09673366834171
2025-02,114.62790340540985,1.5114963,30.737688442211056,-114.08668341708542
2025-02,116.36703047171986,1.5585166,30.72462311557789,-114.07663316582915
2025-02,118.10622695541832,1.5585166,30.711557788944724,-114.06658291457286
2025-02,119.84549283632153,1.4694403,30.69849246231156,-114.05653266331659
